S.No.,Season,Episode,Utterance,Speaker,Start time,start_seconds,End time,end_seconds,Sentiment,Emotion presented,Emotion perceived
1,1,1," It's not as though we were unaware, sir.",Vaibhav's father,01:59,119,02:01,121,Neutral,Neutral,Neutral
2,1,1,We even sought admissions for coaching in April.. ,Vaibhav's father,02:01,121,02:04,124,Neutral,Neutral,Neutral
3,1,1,..but that was in Itarsi.,Vaibhav's father,02:05,125,02:06,126,Neutral,Neutral,Neutral
4,1,1,Local. ,Vaibhav's father,02:06,126,02:06,126,Neutral,Neutral,Neutral
5,1,1,Vaibhav was doing very well even over there. ,Vaibhav's father,02:07,127,02:09,129,Neutral,Neutral,Neutral
6,1,1,He was amongst the top three..,Vaibhav's father,02:09,129,02:10,130,Neutral,Neutral,Neutral
7,1,1, ..but when the All India test series took place in November..,Vaibhav's father,02:11,131,02:14,134,Neutral,Neutral,Neutral
8,1,1,..that's when our eyes opened.,Vaibhav's father,02:14,134,02:15,135,Neutral,Neutral,Neutral
9,1,1," Sir, Vaibhav's friend Piyush is your student.",Vaibhav's father,02:16,136,02:19,139,Neutral,Neutral,Neutral
10,1,1,He lagged behind Vaibhav in school. ,Vaibhav's father,02:19,139,02:21,141,Neutral,Neutral,Neutral
11,1,1,You can confirm from him. ,Vaibhav's father,02:22,142,02:23,143,Neutral,Neutral,Neutral
12,1,1,Even he shot ahead of Vaibhav...,Vaibhav's father,02:23,143,02:25,145,Neutral,Neutral,Neutral
13,1,1,"Sir, Vaibhav is a very hardworking student. ",Vaibhav's father,02:26,146,02:29,149,Neutral,Neutral,Neutral
14,1,1,He even studies a lot but Itarsi lacks the facilities of Kota.,Vaibhav's father,02:29,149,02:33,153,Neutral,Neutral,Neutral
15,1,1,Only one small institute exists there. ,Vaibhav's father,02:34,154,02:36,156,Neutral,Neutral,Neutral
16,1,1,Only 'Success' and 'Ace' are small. ,Maheshwari,02:36,156,02:38,158,Neutral,Neutral,Neutral
17,1,1,Goel-classes has 400 students this year.,Maheshwari,02:38,158,02:40,160,Neutral,Neutral,Neutral
18,1,1,"Yes, sir. ",Vaibhav's father,02:41,161,02:42,162,Neutral,Neutral,Neutral
19,1,1,My Vaibhav was attending Goel classes.,Vaibhav's father,02:42,162,02:45,165,Neutral,Neutral,Neutral
20,1,1,He was attending Goel? ,Maheshwari,02:45,165,02:46,166,Neutral,Neutral,Neutral
21,1,1, Yes.,Vaibhav's father,02:46,166,02:46,166,Neutral,Neutral,Neutral
22,1,1,Then he must be pretty weak in chemistry.,Maheshwari,02:46,166,02:48,168,Neutral,Neutral,Neutral
23,1,1, He won't be able to cover it alone. ,Maheshwari,02:49,169,02:50,170,Neutral,Neutral,Neutral
24,1,1,"No, sir. ",Vaibhav's father,02:50,170,02:51,171,Neutral,Neutral,Neutral
25,1,1,The boy is smart. ,Vaibhav's father,02:51,171,02:52,172,Neutral,Neutral,Neutral
26,1,1,He scored 90 percent in high school.,Vaibhav's father,02:53,173,02:55,175,Neutral,Neutral,Neutral
27,1,1,"Trust me sir, he will be able to follow.  ",Vaibhav's father,02:55,175,02:57,177,Neutral,Neutral,Neutral
28,1,1, No.He won't.,Maheshwari,02:57,177,02:58,178,Neutral,Neutral,Neutral
29,1,1,Pan India more than 7 lakh students score 90 percent in 10th grade.,Maheshwari,02:59,179,03:03,183,Neutral,Neutral,Neutral
30,1,1,More than 2 lakhs in CBSE alone.,Maheshwari,03:04,184,03:06,186,Neutral,Neutral,Neutral
31,1,1, And how many seats do they have in IIT?,Maheshwari,03:07,187,03:08,188,Neutral,Neutral,Neutral
32,1,1,5273 only. ,Maheshwari,03:09,189,03:11,191,Neutral,Neutral,Neutral
33,1,1,If only the students with over 90 percent appear for IIT..,Maheshwari,03:12,192,03:15,195,Neutral,Neutral,Neutral
34,1,1,..even then 99 percent of those ,Maheshwari,03:15,195,03:17,197,Neutral,Neutral,Neutral
35,1,1,won't make it.,Maheshwari,03:18,198,03:19,199,Neutral,Neutral,Neutral
36,1,1,"Sir, the Minister forwarded this letter.",Vaibhav's father,03:21,201,03:24,204,Neutral,Neutral,Neutral
37,1,1, He even called me.,Maheshwari,03:24,204,03:26,206,Neutral,Neutral,Neutral
38,1,1,That's why I am refusing in person. ,Maheshwari,03:26,206,03:28,208,Neutral,Neutral,Neutral
39,1,1,"Look, I won't make tall promises",Maheshwari,03:29,209,03:32,212,Neutral,Neutral,Neutral
40,1,1, but it would be beneficial to Vaibhav..,Maheshwari,03:33,213,03:34,214,Neutral,Neutral,Neutral
41,1,1,..to join us when the 12th grade batches start in April. ,Maheshwari,03:35,215,03:38,218,Neutral,Neutral,Neutral
42,1,1,With all the others.,Maheshwari,03:39,219,03:40,220,Neutral,Neutral,Neutral
43,1,1,Jai Shree Krishna,Maheshwari,03:41,221,03:42,222,Neutral,Neutral,Neutral
44,1,1,Could you talk to Piyush? ,Vaibhav's father,06:05,365,06:06,366,Neutral,Neutral,Neutral
45,1,1,We should have taken admissions back then only.,Vaibhav's father,06:09,369,06:11,371,Negative,Sadness,Neutral
46,1,1,Both of you would have been together. ,Vaibhav's father,06:11,371,06:13,373,Negative,Sadness,Neutral
47,1,1,"Anyways, if not here then maybe somewhere else.",Vaibhav's father,06:14,374,06:17,377,Neutral,Neutral,Neutral
48,1,1,But nowadays this is the number one. ,Auto driver,06:18,378,06:20,380,Neutral,Neutral,Neutral+Anger
49,1,1,You better focus on driving ,Vaibhav's father,06:20,380,06:21,381,Negative,Anger,Neutral
50,1,1,Smartass.,Vaibhav's father,06:22,382,06:23,383,Negative,Anger,Neutral
51,1,1,Where in Talwandi? 'Prodigy',Auto driver,06:23,383,06:25,385,Negative,Disgust,Surprise
52,1,1,"How long have you been in Kota, brother? ",Vaibhav,06:32,392,06:33,393,Neutral,Neutral,Neutral
53,1,1,"Son, I've been in Kota since the time it used to be a city, not a factory.",Auto driver,06:34,394,06:38,398,Neutral,Neutral,Neutral
54,1,1,Back then coaching classes did not have any uniforms.. ,Auto driver,06:40,400,06:42,402,Neutral,Neutral,Neutral
55,1,1,..and this environment was confined to a small locality of 'Vigyan Nagar.,Auto driver,06:43,403,06:48,408,Neutral,Neutral,Neutral
56,1,1,"What an apt name!Ain't it, sir? ",Auto driver,06:50,410,06:51,411,Neutral,Neutral,Neutral
57,1,1,"Yes, some Agarwal classes used to be there. ",Vaibhav's father,06:51,411,06:55,415,Neutral,Neutral,Surprise
58,1,1, Some?,Auto driver,06:55,415,06:56,416,Neutral,Surprise,Neutral
