S.No.,Season,Episode,Utterance,Speaker,Start time,start_seconds,End time,end_seconds,Sentiment,Emotion Presented,Emotion Perceived
1,1,2,"Hello, mummy.  ",Vaibhav,00:27,27,00:28,28,Neutral,Neutral,Neutral
2,1,2,"How are you, son?",Vaibhav's mother,00:29,29,00:30,30,Neutral,Neutral,Neutral
3,1,2,I am good.,Vaibhav,00:31,31,00:32,32,Neutral,Neutral,Neutral
4,1,2,How are studies going? ,Vaibhav's mother,00:32,32,00:34,34,Neutral,Neutral,Neutral
5,1,2, It's going well.,Vaibhav,00:34,34,00:36,36,Neutral,Neutral,Neutral
6,1,2,Classes have begun.,Vaibhav,00:36,36,00:37,37,Neutral,Neutral,Neutral
7,1,2,His routine will be disturbed.  ,Vaibhav's father,00:39,39,00:42,42,Neutral,Neutral,Neutral
8,1,2,Let him sleep.,Vaibhav's father,00:42,42,00:43,43,Neutral,Neutral,Neutral
9,1,2,You let the day pass and then call specifically at night.,Vaibhav's father,00:43,43,00:45,45,Neutral,Neutral,Neutral
10,1,2,Tell me. ,Vaibhav's mother,00:47,47,00:48,48,Neutral,Neutral,Neutral
11,1,2,Are you in good spirit? ,Vaibhav's mother,00:49,49,00:50,50,Neutral,Neutral,Neutral
12,1,2,"Yes, mummy.",Vaibhav,00:50,50,00:51,51,Neutral,Neutral,Neutral
13,1,2,How do you manage to keep repeating the same question? ,Vaibhav,00:53,53,00:56,56,Neutral,Neutral,Neutral
14,1,2,Okay.,Vaibhav's mother,00:57,57,00:58,58,Neutral,Neutral,Neutral
15,1,2,I'll hang up then.    ,Vaibhav's mother,00:59,59,01:00,60,Neutral,Neutral,Neutral
16,1,2,Okay.Goodnight.,Vaibhav's mother,01:01,61,01:02,62,Neutral,Neutral,Neutral
17,1,2,Goodnight.,Vaibhav's mother,01:02,62,01:03,63,Neutral,Neutral,Neutral
18,1,2,Are you revising 'coordinate' inside?,Meena,01:21,81,01:23,83,Negative,Anger,Neutral
19,1,2,"Just two more minutes, bro.",Vaibhav,01:27,87,01:28,88,Neutral,Neutral,Neutral
20,1,2,Did it fall? ,Jeetu Bhaiyaa,01:38,98,01:39,99,Neutral,Neutral,Neutral
21,1,2,Did it fall?,Jeetu Bhaiyaa,01:42,102,01:43,103,Neutral,Neutral,Neutral
22,1,2,Did I tell you or not?   ,Jeetu Bhaiyaa,01:49,109,01:50,110,Neutral,Neutral,Neutral
23,1,2,Jeetu Bhaiya and Physics can never be wrong.,Jeetu Bhaiyaa,01:51,111,01:53,113,Neutral,Neutral,Neutral
24,1,2,Bhaiya.Bhaiya.,Uday,01:53,113,01:54,114,Neutral,Neutral,Neutral
25,1,2,Once more.,Uday,01:55,115,01:56,116,Neutral,Neutral,Neutral
26,1,2,How many times did you pay the fees? ,Jeetu Bhaiyaa,01:56,116,01:57,117,Neutral,Neutral(sarcastic),Neutral
27,1,2,What if I say 'once more'?,Jeetu Bhaiyaa,01:58,118,01:59,119,Neutral,Neutral(sarcastic),Neutral(embarrass)
28,1,2,Look at that.  ,Jeetu Bhaiyaa,02:04,124,02:05,125,Neutral,Neutral(sarcastic),Neutral(embarrass)
29,1,2,He is feeling sleepy in class.,Jeetu Bhaiyaa,02:05,125,02:06,126,Neutral,Neutral(sarcastic),Neutral(embarrass)
30,1,2,Am I that boring?,Jeetu Bhaiyaa,02:08,128,02:09,129,Neutral,Neutral(sarcastic),Neutral(embarrass)
31,1,2,I stole someone's wheel at 4:30 AM. ,Jeetu Bhaiyaa,02:10,130,02:12,132,Neutral,Neutral(sarcastic),Neutral(embarrass)
32,1,2,He may show up anytime. ,Jeetu Bhaiyaa,02:12,132,02:13,133,Neutral,Neutral(sarcastic),Neutral(embarrass)
33,1,2,And this chap is all sleepy.,Jeetu Bhaiyaa,02:14,134,02:15,135,Neutral,Neutral,Neutral(embarrass)
34,1,2,"Sorry, sir.  ",Vaibhav,02:16,136,02:17,137,Neutral,Neutral,Neutral
35,1,2," I could not sleep all night, so.. ",Vaibhav,02:17,137,02:18,138,Neutral,Neutral,Surprise
36,1,2,What did you just say?Come again?,Jeetu Bhaiyaa,02:18,138,02:19,139,Negative,Anger,Neutral
37,1,2,I could not sleep all night..  ,Vaibhav,02:21,141,02:22,142,Neutral,Neutral,Anger
38,1,2,No. No. Before that? ,Jeetu Bhaiyaa,02:22,142,02:23,143,Negative,Anger(sarcastic),Surprise
39,1,2,"Sorry, sir.",Vaibhav,02:25,145,02:26,146,Neutral,Surprise,Anger
40,1,2,Sir!  ,Jeetu Bhaiyaa,02:27,147,02:29,149,Negative,Anger(sarcastic),Neutral
41,1,2,Did everyone hear that?,Jeetu Bhaiyaa,02:29,149,02:31,151,Negative,Anger(sarcastic),Neutral
42,1,2,Sir.,Jeetu Bhaiyaa,02:32,152,02:33,153,Negative,Anger(sarcastic),Neutral
43,1,2,Jeetu Bhaiya is no longer a 'Bhaiya' .  ,Jeetu Bhaiyaa,02:34,154,02:36,156,Negative,Anger(sarcastic),Neutral
44,1,2,What am I now?,Jeetu Bhaiyaa,02:36,156,02:37,157,Negative,Anger(sarcastic),Neutral
45,1,2,Sir!,Jeetu Bhaiyaa,02:37,157,02:39,159,Negative,Anger(sarcastic),Neutral
46,1,2,Batla sir and Rao sir aren't the only sirs. ,Jeetu Bhaiyaa,02:39,159,02:42,162,Negative,Anger(sarcastic),Neutral
47,1,2,Even Jeetu Bhaiya is now a..,Jeetu Bhaiyaa,02:43,163,02:44,164,Negative,Anger(sarcastic),Neutral
48,1,2,Sir!    ,,02:44,164,02:46,166,Negative,Anger(sarcastic),Neutral
49,1,2,You surely deserve a prize.,Jeetu Bhaiyaa,02:46,166,02:47,167,Negative,Neutral(sarcastic),Neutral
50,1,2,Come over.,Jeetu Bhaiyaa,02:47,167,02:48,168,Negative,Neutral(sarcastic),Neutral
51,1,2, Go. Go,Student,02:48,168,02:49,169,Neutral,Neutral(sarcastic),Neutral
52,1,2,Come. ,Jeetu Bhaiyaa,02:49,169,02:50,170,Neutral,Neutral(sarcastic),Neutral
53,1,2,Well done!,Uday,02:49,169,02:50,170,Neutral,Neutral(sarcastic),Neutral
54,1,2,The credit for my success goes to my mother Mrs. Sumitra..,Jeetu Bhaiyaa,02:51,171,02:56,176,Neutral,Neutral(sarcastic),Neutral
55,1,2,Scoot!   ,Jeetu Bhaiyaa,02:58,178,02:59,179,Neutral,Neutral(sarcastic),Neutral
56,1,2,Go and wash your face.,Jeetu Bhaiyaa,02:59,179,03:00,180,Neutral,Neutral(sarcastic),Neutral
57,1,2,Go!,Jeetu Bhaiyaa,03:00,180,03:01,181,Neutral,Neutral(sarcastic),Neutral
