S.No,Season,Episode,Utterance,Speaker,Start time,start_seconds,End time,end_seconds,Sentiment,Emotion presented,Emotion perceived
1,1,3,You done? ,Meena,00:06,6,00:07,7,Neutral,Neutral,Neutral
2,1,3, Yes. Almost.,Vaibhav,00:07,7,00:08,8,Neutral,Neutral,Neutral
3,1,3,Hurry up. Hurry up.,Meena,00:08,8,00:09,9,Positive,Joy,Neutral
4,1,3,Today we'll reach early and take the front row.  ,Meena,00:12,12,00:14,14,Positive,Joy,Neutral
5,1,3,After so long I've completed the DPP.,Meena,00:14,14,00:16,16,Positive,Joy,Neutral
6,1,3,Batla sir is right.,Meena,00:16,16,00:17,17,Positive,Joy,Neutral
7,1,3, If one knows inorganic the questions get solved instantly. ,Meena,00:17,17,00:19,19,Positive,Joy,Joy
8,1,3,Yes.,Vaibhav,00:19,19,00:20,20,Positive,Joy,Joy
9,1,3,Lord knows why they teach SPDF orbital. ,Vaibhav,00:21,21,00:23,23,Neutral,Neutral,Joy
10,1,3,They should begin with Inorganic. ,Vaibhav,00:23,23,00:25,25,Neutral,Neutral,Joy
11,1,3,That ways student's confidence will get a boost. ,Vaibhav,00:25,25,00:27,27,Neutral,Neutral,Joy
12,1,3, Yes.,Meena,00:27,27,00:28,28,Positive,Joy,Neutral
13,1,3,For the first time I could finish the DPP in fifteen mins.,Meena,00:28,28,00:31,31,Positive,Joy,Neutral
14,1,3, I finished in twelve.,Vaibhav,00:32,32,00:33,33,Positive,Joy,Neutral
15,1,3,"Well, it's possible you made some mistakes in haste. ",Meena,00:35,35,00:37,37,Neutral,Neutral,Neutral
16,1,3,Wait for it to be discussed.,Meena,00:37,37,00:38,38,Neutral,Neutral,Neutral
17,1,3, Really?,Vaibhav,00:38,38,00:40,40,Neutral,Neutral,Neutral
18,1,3,"Well, alright.We shall see.   ",Vaibhav,00:40,40,00:41,41,Neutral,Neutral,Neutral
19,1,3,The one who has more correct answers.. ..has to treat the other to Shreeji's onion puffs.,Vaibhav,00:41,41,00:44,44,Neutral,Neutral,Neutral
20,1,3, It's a bet.,Meena,00:44,44,00:45,45,Neutral,Neutral,Neutral
21,1,3, It's a bet.,Vaibhav,00:45,45,00:45,45,Neutral,Neutral,Neutral
22,1,3,You will lose. ,Meena,00:46,46,00:47,47,Neutral,Neutral,Neutral
