sno,Season,Episode,utterance,speaker,start,start_seconds,end,end_seconds,sentiment,emotion presented,emotion perceived
1,1,4,"All of you, write down the homework you have to do.",Jeetu,00:05,5,00:06,6,Neutral,Neutral,Neutral
2,1,4,Problem number 32 to 38 on the sheet.,Jeetu,00:07,7,00:12,12,Neutral,Neutral,Surprise
3,1,4,And? ,Meenal,00:15,15,00:16,16,Neutral,Surprise,Neutral
4,1,4,And?,Jeetu,00:16,16,01:17,77,Neutral,Neutral,Neutral
5,1,4, And that's it,Jeetu,00:16,16,00:19,19,Neutral,Neutral,Surprise
6,1,4,That's it?,Vaibhav,00:02,2,00:21,21,Neutral,Surprise,Neutral 
7,1,4,Bhaiya we have five days off. Give us some more. We will do it.,Vaibhav,00:21,21,00:24,24,Neutral,Neutral,Neutral
8,1,4,"Yes, I know",Jeetu,00:24,24,00:25,25,Neutral,Neutral(sarcasm),Neutral
9,1,4,That's why I am not giving you more.,Jeetu,00:25,25,00:26,26,Neutral,Neutral,Neutral
10,1,4,These five days are for the school's practical.,Jeetu,00:27,27,00:29,29,Neutral,Neutral,Neutral
11,1,4, All of you will focus on that and relax. Okay?,Jeetu,00:30,30,00:32,32,Neutral,Neutral,Surprise
12,1,4,Relax?,Meena,00:32,32,00:34,34,Neutral,Neutral,Neutral
13,1,4,Yes. And your reshuffling exams will be held in 15 days of returning.,Jeetu,00:34,34,00:37,37,Neutral,Neutral,Neutral
14,1,4,"13 days, sir. 13 days.",Meenal,00:37,37,00:38,38,Negative,Anger,Neutral
15,1,4,Listen. 13 days.,Jeetu,00:38,38,00:39,39,Neutral,Neutral,Anger
16,1,4,Then you have to study like a lunatic then. ,Jeetu,00:39,39,00:41,41,Neutral,Neutral,Neutral
17,1,4,Charge your battery a little. ,Jeetu,00:41,41,00:42,42,Neutral,Neutral,Neutral
18,1,4,You won't burn out if you relax a little along with your studies.,Jeetu,00:42,42,00:45,45,Neutral,Neutral,Neutral
19,1,4,But all of you will focus on school.,Jeetu,00:46,46,00:47,47,Neutral,Neutral,Neutral
20,1,4,"Uday, what's on your mind? ",Jeetu,00:47,47,00:48,48,Neutral,Neutral,Surprise
21,1,4, Sir.,Uday,00:49,49,00:49,49,Neutral,surprise,Neutral
22,1,4,That doesn't mean all of you laze completely.,Jeetu,00:50,50,00:52,52,Neutral,Neutral ,Neutral
23,1,4, Just sleeping.,Jeetu,00:52,52,00:53,53,Neutral,Neutral ,Neutral
24,1,4,Chill a little.,Jeetu,00:54,54,00:55,55,Neutral,Neutral,Neutral
25,1,4,How many of you will be going to school for the first tomorrow? Put your hands up.,Jeetu,00:58,58,01:00,60,Neutral,Neutral,Neutral
26,1,4,Bravo! This is the cream of our country.,Jeetu,01:03,63,01:07,67,Neutral,Neutral(sarcastic),Neutral
27,1,4,Very good!,Jeetu,01:10,70,01:11,71,Neutral,Neutral(sarcastic),Neutral
28,1,4,Superb handwriting! ,Uday,01:34,94,01:35,95,Positive,joy,Neutral
29,1,4,The lab report is written in cursive.,Uday,01:36,96,01:38,98,Positive,joy,Neutral
30,1,4,Value for money.,Uday,01:39,99,01:40,100,Positive,joy,Neutral
31,1,4,They have given 8.2 as the value for g. ,Vaibhav,01:41,101,01:44,104,Neutral,Surprise,Neutral
32,1,4,Shouldn't it be 9.8?,Vaibhav,01:45,105,01:46,106,Neutral,Neutral,Anger
33,1,4,Ignorant chap! ,Uday,01:46,106,01:47,107,Negative,Anger,Neutral
34,1,4,If you get 9.8 as the value of g in the lab..,Uday,01:47,107,01:50,110,Neutral,Neutral,Neutral
35,1,4, Yes.,Vaibhav,01:50,110,01:50,110,Neutral,Neutral,Neutral
36,1,4," Then you have certainly cheated, bro.",Uday,01:50,110,01:52,112,Neutral,Neutral,Neutral
37,1,4,8.2 seems more realistic.,Uday,01:53,113,01:54,114,Neutral,Neutral,Neutral
38,1,4,Even the A1 batch buys lab reports from him.,Uday,01:55,115,01:57,117,Neutral,Neutral,Surprise
39,1,4,It cost me 700 rupees to save 8 hours.,Vaibhav,02:00,120,02:02,122,Negative,Sadness,Surprise
40,1,4,No. ,Uday,02:02,122,02:03,123,Neutral,Surprise,Neutral
41,1,4,300 rupees.,Uday,02:03,123,02:04,124,Neutral,Neutral,Neutral
42,1,4,400 rupees was for the scooty rental.,Uday,02:04,124,02:05,125,Neutral,Neutral,Surprise
43,1,4,Are you going to charge me just because I used your scooty for 2 days?,Vaibhav,02:07,127,02:10,130,Negative,Surprise,Neutral
44,1,4,"No, no. Not mine. ",Uday,02:10,130,02:11,131,Neutral,Neutral,Neutral
45,1,4, The other one that I have rented.,Uday,02:11,131,02:13,133,Neutral,Neutral,Neutral
46,1,4,Only 400 rupees for 4 days.,Uday,02:13,133,02:15,135,Positive,joy,Neutral
47,1,4,Isn't it great deal? ,Uday,02:15,135,02:17,137,Positive,joy,Surprise
48,1,4,Shivangi says I am not organized.,Uday,02:17,137,02:20,140,Neutral,Neutral,Surprise
49,1,4,Wait and watch. ,Uday,02:20,140,02:22,142,Neutral,Neutral,Surprise
50,1,4,What other one?,Vaibhav,02:23,143,02:24,144,Neutral,Surprise,Neutral
51,1,4,and for whom? ,Vaibhav,02:24,144,02:25,145,Neutral,Surprise,Neutral
52,1,4,It cost me 400 rupees?!,Vaibhav,02:25,145,02:26,146,Negative,Anger,Anger
53,1,4,You expect the four of us to sit one on top of the other?,Uday,02:27,147,02:29,149,Negative,Anger(sarcastic),Surprise
54,1,4,I am so sly.,Uday,02:30,150,02:31,151,Positive,joy,Surprise
55,1,4,I've already filled petrol in the scooty.,Uday,02:31,151,02:33,153,Positive,joy,Surprise
56,1,4,What four people? ,Vaibhav,02:34,154,02:35,155,Negative,Surprise,Neutral
57,1,4,"You, me, Shivangi and Vartika.",Uday,02:35,155,02:36,156,Neutral,Neutral,Anger
58,1,4,Vartika who?,Vaibhav,02:36,156,02:37,157,Negative,surprise,Neutral
59,1,4,Ratawal.,Uday,02:37,157,02:38,158,Neutral,Neutral,Anger
60,1,4,Ratawal who?,Vaibhav,02:38,158,02:39,159,Negative,surprise,Neutral
61,1,4, Shivangi's friend.,Uday,02:39,159,02:40,160,Neutral,Neutral,Neutral
62,1,4,"What are you saying, bro? Quiet.",Vaibhav,02:40,160,02:41,161,Neutral,Neutral,Neutral
63,1,4, Tell me calmly. What are you saying?,Vaibhav,02:41,161,02:42,162,Neutral,Neutral,Anger
64,1,4,What are you saying? ,Uday,02:42,162,02:43,163,Negative,Anger,Neutral
65,1,4,Should I remain quiet or should I tell you?,Uday,02:43,163,02:44,164,Negative,Anger,Neutral
66,1,4,Look.,Uday,02:46,166,02:47,167,Neutral,Neutral,Neutral
67,1,4,We have a 4 day break.,Uday,02:48,168,02:49,169,Neutral,Neutral,Neutral
68,1,4,No coaching.,Uday,02:50,170,02:51,171,Neutral,Neutral,Neutral
69,1,4,No homework.,Uday,02:51,171,02:52,172,Neutral,Neutral,Neutral
70,1,4,We will go on an excursion.,Uday,02:52,172,02:53,173,Positive,joy,Neutral
71,1,4,"I rented a scooty so that the four of us.. ..you, me, Shivangi and her friend Vartika Ratawal can sight see Kota.",Uday,02:54,174,03:03,183,Neutral,Neutral,Neutral
72,1,4,Isn't that cool?,Uday,03:03,183,03:04,184,Positive,joy,Anger
73,1,4,I am not going anywhere. ,Meena,03:05,185,03:06,186,Neutral,Neutral,Neutral
74,1,4,We have a 4 day break. ,Meena,03:06,186,03:07,187,Neutral,Neutral,Neutral
75,1,4,Vaibhav and I will revise.,Meena,03:07,187,03:08,188,Neutral,Neutral,Surprise
76,1,4,Vaibhav and I will revise.,Meenal,03:09,189,03:10,190,Neutral,Surprise,Neutral
77,1,4,Study.,Meena,03:10,190,03:11,191,Neutral,Neutral,Neutral
78,1,4," No, no. ",Meenal,03:11,191,03:12,192,Neutral,Neutral,Neutral
79,1,4, Don't do it.,Meenal,03:12,192,03:13,193,Neutral,Neutral,Neutral
80,1,4,"Jeetu Bhaiya said to relax, so you should relax.",Meenal,03:13,193,03:16,196,Neutral,Neutral,joy
81,1,4,"Oh, yes.",Meena,03:18,198,03:19,199,Positive,Joy,Neutral
82,1,4,Do you also pay heed to everything the teachers say? ,Meena,03:26,206,03:29,209,Neutral,Neutral,Neutral
83,1,4, Is there another possibility?,Meenal,03:29,209,03:30,210,Neutral,Neutral,joy
84,1,4,Your thoughts are so pure.,Meena,03:35,215,03:37,217,Positive,joy,Neutral
85,1,4,Just like mine.,Meena,03:37,217,03:38,218,Positive,joy,Surprise
86,1,4,"I can't go, buddy. ",Vaibhav,03:42,222,03:43,223,Negative,Sadness,Anger
87,1,4,Like hell!,Uday,03:43,223,03:44,224,Negative,Anger,Sadness
88,1,4,I filled 400 rupees worth of petrol in the scooty.,Uday,03:44,224,03:46,226,Negative,Anger,Sadness
89,1,4,I paid 500 rupees to rent it.,Uday,03:46,226,03:47,227,Negative,Anger,Sadness
90,1,4,Now you're telling me you won't go.,Uday,03:47,227,03:49,229,Negative,Sadness,Sadness
91,1,4,"Look, bro.",Vaibhav,03:52,232,03:53,233,Neutral,Neutral,Neutral
92,1,4,Meena and I want to complete the whole syllabus.. ..during these 4 days.,Vaibhav,03:53,233,03:56,236,Negative,Fear,Anger
93,1,4,"You always do this, buddy.",Uday,03:56,236,03:58,238,Negative,Anger,Sadness
94,1,4,You ruined the Dussehra fair plans the same way.,Uday,03:59,239,04:01,241,Negative,Anger,Surprise
95,1,4,One moment. ,Vaibhav,04:01,241,04:02,242,Neutral,Surprise,Neutral
96,1,4,I wasn't here at the time of the Dussehra fair.,Vaibhav,04:02,242,04:04,244,Neutral,Surprise,Anger
97,1,4,Exactly. ,Uday,04:05,245,04:06,246,Negative,Anger,Neutral
98,1,4, You weren't here then and you aren't now either.,Uday,04:06,246,04:08,248,Negative,Sadness,Surprise
99,1,4,Bro.,Uday,04:12,252,04:13,253,Negative,Sadness,Neutral
100,1,4,Shivangi has been avoiding me for a long time.,Uday,04:14,254,04:17,257,Negative,Sadness,Neutral
101,1,4,I hope she doesn't break up with me.,Uday,04:19,259,04:20,260,Negative,Fear,Neutral
102,1,4,She isn't even mean enough to wait for another boy to enter her life....before she breaks up with me. ,Uday,04:21,261,04:25,265,Negative,Fear,Neutral
103,1,4,"Within four days I want to go everywhere from Troika to Talap.. ..seven wonders to C V garden, from Radha Krishna to standing Ganeshji",Uday,04:27,267,04:34,274,Neutral,Neutral,Neutral
104,1,4,..so that we create so many memories here in Kota..,Uday,04:35,275,04:37,277,Positive,joy,Neutral
105,1,4,..even the thought of breaking up would torment her heart.,Uday,04:37,277,04:41,281,Neutral,Neutral,Neutral
106,1,4,"Basic romantic consumerism, buddy.",Uday,04:43,283,04:44,284,Neutral,Neutral,Neutral
107,1,4,"So, you go, bro.",Vaibhav,04:48,288,04:50,290,Negative,Anger,Neutral
108,1,4,Why are you making me the third wheel?,Vaibhav,04:50,290,04:52,292,Negative,Anger,Fear
109,1,4,"Some things can't be done without a third wheel, bro.",Uday,04:52,292,04:55,295,Negative,Fear,Anger
110,1,4,She will come if all of us go out.,Uday,04:55,295,04:57,297,Neutral,Neutral,Neutral
111,1,4,She won't come alone.,Uday,04:57,297,04:58,298,Negative,fear,Neutral
112,1,4,"But our revision, bro.",Vaibhav,04:59,299,05:01,301,Neutral,Neutral,Neutral
113,1,4,"Yes, that's what I was saying.",Meena,05:00,300,05:01,301,Neutral,Neutral,Neutral
114,1,4,Due to some unavoidable circumstances we won't be able to revise.,Meena,05:01,301,05:04,304,Neutral,Neutral,Surprise
115,1,4,I am talking.,Vaibhav,05:02,302,05:03,303,Neutral,Neutral,Neutral
116,1,4,What? What? What? ,Vaibhav,05:06,306,05:07,307,Negative,Surprise,Neutral
117,1,4,We have to complete the whole syllabus in 4 days. ,Vaibhav,05:07,307,05:09,309,Negative,Anger,Neutral
118,1,4,I want to relax. Jeetu Bhaiya said so.,Meena,05:09,309,05:11,311,Neutral,Neutral,Surprise
119,1,4,"Take me with you, Uday. ",Meena,05:11,311,05:13,313,Neutral,Neutral,Neutral
120,1,4," You won't retract, will you?",Uday,05:13,313,05:14,314,Neutral,Neutral,Neutral
121,1,4,Promise me.,Uday,05:14,314,05:15,315,Neutral,Neutral,Neutral
