S.No.,Season,Episode,Utterance,Speaker,Start time,start_seconds,End time,end_seconds,Sentiment,Emotion presented,Emotion perceived
1,1,5,Scoundrel!,Uday,00:17,17,00:18,18,Positive,Joy,Neutral
2,1,5,You should have atleast told us. ,Uday,00:20,20,00:21,21,Positive,Joy,Neutral
3,1,5,Told you what?,Vaibhav,00:22,22,00:23,23,Negative,Sadness,Neutral
4,1,5,"Best wishes on your birthday, Vaibhav. ",Meena,00:25,25,00:27,27,Positive,Joy,Neutral
5,1,5,I will never forget the first time we met.,Meena,00:27,27,00:30,30,Positive,Joy,Neutral
6,1,5,You were standing there hungry and thirsty in the corridor and I..  ,Meena,00:30,30,00:32,32,Positive,Joy,Neutral
7,1,5,It's not.. ,Vaibhav,00:31,31,00:32,32,Neutral,Neutral,Neutral
8,1,5,Let me complete.,Meena,00:32,32,00:34,34,Neutral,Neutral,Neutral
9,1,5,At first sight I felt I'd found my companion.. ..on the journey to IT Bombay Computer science.,Meena,00:34,34,00:39,39,Positive,Joy,Neutral
10,1,5,"Meena, it is not my birthday.",Vaibhav,00:39,39,00:40,40,Neutral,Neutral,Surprise
11,1,5,Do you rich people eat cake whenever you want?,Meena,00:44,44,00:46,46,Neutral,Surprise,Neutral
12,1,5,I went to Maheshwari to check on Vartika's results. ,Vaibhav,00:50,50,00:52,52,Neutral,Neutral,Neutral
13,1,5,"I came across a bakery on the way so, I bought a cake.",Vaibhav,00:53,53,00:55,55,Neutral,Neutral,Neutral
14,1,5,She would be happy when I'd tell her the good news.  ,Vaibhav,00:56,56,00:58,58,Neutral,Neutral,Neutral
15,1,5,She would give me credit.,Vaibhav,00:58,58,00:59,59,Neutral,Neutral,Neutral
16,1,5,I will feel like a hero. ,Vaibhav,00:59,59,01:00,60,Neutral,Neutral,Neutral
17,1,5,And you will get to kiss her.,Uday,01:00,60,01:01,61,Neutral,Neutral,Neutral
18,1,5,"Right, bro?   ",Uday,01:01,61,01:02,62,Neutral,Neutral,Neutral
19,1,5,You were right.,Uday,01:02,62,01:03,63,Neutral,Neutral,Neutral
20,1,5,Then?,Uday,01:03,63,01:04,64,Neutral,Neutral,Neutral
21,1,5,What then? ,Vaibhav,01:06,66,01:07,67,Neutral,Neutral,Neutral
22,1,5,I saw the results.,Vaibhav,01:07,67,01:08,68,Neutral,Neutral,Neutral
23,1,5,Vartika didn't make it.  ,Vaibhav,01:09,69,01:10,70,Neutral,Neutral,Neutral
24,1,5, I did.,Vaibhav,01:10,70,01:11,71,Neutral,Neutral,Neutral
25,1,5,Did you check the results thoroughly? ,Meena,01:11,71,01:12,72,Neutral,Neutral,Neutral
26,1,5,Eight times.,Vaibhav,01:12,72,01:13,73,Neutral,Neutral,Neutral
27,1,5,From up to down.,Vaibhav,01:13,73,01:14,74,Neutral,Neutral,Neutral
28,1,5,"You taught her so much, bro, and yet she didn't make it?",Uday,01:15,75,01:17,77,Neutral,Surprise,Neutral
29,1,5, She's a very dumb girl.. ,Uday,01:18,78,01:20,80,Neutral,Neutral,Neutral
30,1,5,..but good choice for girlfriend.,Uday,01:20,80,01:22,82,Neutral,Neutral,Anger
31,1,5,No. Many students sat for the exam. ,Vaibhav,01:22,82,01:23,83,Negative,Anger,Neutral
32,1,5,Somesh. Shubham. Alok. Utsav.,Vaibhav,01:23,83,01:26,86,Negative,Anger,Surprise
